"","time","S","I_S","I","S_Q","E1","E2","E3","E4","I_A1","I_A2","I_A3","I_A4","I_S1","I_S2","I_S3","I_S4","I_A","P_I1","P_I2","P_I3","P_I4","Q","R"
"1",1,19449999,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2",2,19449881.1349616,0.601023449560278,9.15242541171274,11.9409816845931,48.6234728431258,25.9930220927819,14.2153005683449,7.91055188405244,7.25225120187606,1.1325782804414,0.149620084006959,0.0169523958258882,0.272531800011918,0.218025431146423,0.0872101712315383,0.0232560471703813,8.55140196214976,0,0,0,0,1.02126885051645,0.00801505517326194
"3",3,19446778.5946628,0.338885580576002,272.414438725545,18.9466048644475,1471.36958144403,794.957356879874,429.593889816979,232.171206816658,220.908591398397,41.8977544067974,7.84389576497172,1.42531157483491,0.0742735793319265,0.118837727968022,0.0950701772744826,0.0507040960015546,272.075553144967,0,0,0,0,1.62044352544995,0.331815130996965
"4",4,19353949.1764115,7.07411268473801,8186.38859934309,46.0582273924887,44087.9466366327,23848.7525780444,12895.7627990231,6971.30740940695,6635.91077503758,1260.95252696206,238.134331338995,44.3168533193393,1.35254593336574,2.37487353424845,2.09953227739677,1.24716093972693,8179.31448665824,6.38844798466143,10.2215167754583,8.17721342036663,4.3611804908622,3.94163543075484,10.6657032310458
"5",5,16782252.4006865,211.434521565292,241853.808401727,892.972380839186,1188421.5513075,665424.549628221,368380.235410837,202374.388669194,195689.283793329,37508.1723680441,7117.08027351595,1327.83744524703,39.8744474824237,70.5814844212174,63.0417273279074,37.9368623337769,241642.373880149,187.497394223888,299.995830758221,239.996664606577,127.998221123507,78.5618889984109,321.531625528204
"6",6,539206.947798281,6350.69554402934,4854203.83776393,6918.12618003861,3483858.20031962,4119491.75228748,3660435.23191781,2775345.57014154,3758152.71787584,869381.778313205,183816.133794028,36502.5122365808,1197.57072234394,2119.86615167295,1893.55779673514,1139.70087327727,4847853.14221968,5629.92190607729,9007.87504972367,7206.30003977893,3843.36002121543,1297.92355459538,9242.41003552309
"7",7,8.13862241735691e-05,187336.156647786,16100987.0507288,7219.03109789931,78379.3954947244,382436.362961695,972205.763887352,1715402.88382421,9247551.1565618,4592208.91570382,1616896.10125261,456994.720562513,35281.524668809,62504.7120589599,55882.2510287809,33667.6688912363,15913650.8940808,163435.087096631,261496.13935461,209196.911483688,111571.686124633,28175.2240741461,165194.287848518
"8",8,-1.07359390128046e-06,3623986.30935789,17492612.9511507,7219.03110155581,1435.59534349817,12746.9128108466,57309.4143370563,173994.098068833,5146127.41533643,4898729.38194437,2727817.96254383,1095951.8819684,662029.52235962,1195989.55000175,1092348.92394659,673618.313049917,13868626.6417929,2241325.37164819,3586120.5946371,2868896.47570968,1530078.12037849,663569.541436271,1041112.45579336
"9",9,4.49196337354266e-06,9332821.64812531,12324289.8089108,7219.03109779879,26.2946496844432,338.648058062691,2193.89305325269,9533.67236865467,912986.823194446,1078432.47500805,691479.068816211,308569.793766956,1398171.55872921,2850405.23809707,2970878.28303571,2113366.56826327,2991468.16078555,1385333.36203073,2216533.37924916,1773226.70339933,945720.90847964,4292654.06152291,2813744.59037091
"10",10,2.03248458908005e-08,6266238.85484311,6498950.40681063,7219.03109383377,0.481601198386803,8.12893572892027,68.8453734681723,390.102085026284,67115.2730261974,84061.4766307883,55911.2479057943,25623.5544049187,640280.107707213,1616700.16024026,2111582.65965119,1897675.9272444,232711.551967575,140513.869408016,224822.191052825,179857.752842259,95924.134849204,8346123.43582682,4597239.56830915
"11",11,-3.93880680416506e-13,3008374.0093398,3019852.97088423,7219.03109383913,0.00882099038675022,0.184172317196384,1.92707706222818,13.4740165133024,3226.81620837795,4143.69250977206,2803.33586273864,1305.11696372385,194189.595982681,621587.225116991,1027744.16809904,1164853.02014104,11478.961544494,7697.92812879113,12316.6850060644,9853.34800485038,5255.11893591944,10594721.2718409,5828191.13213004
"12",12,-1.22004855272456e-14,1304180.8414514,1304651.76805453,7219.03109383913,0.000161558635305438,0.00401942301251997,0.0500805914345062,0.416674429926631,125.016313403821,165.634779883679,118.212256123962,62.0632538657949,53878.7472709701,213766.052027846,434717.393219294,601818.648933257,470.926603159128,313.711997854902,501.93919656647,401.551357252019,214.160723866981,11620059.6866813,6518069.04327023
"13",13,1.29804122839303e-15,533412.702332677,533453.345753747,7219.03109383913,2.95914702486072e-06,8.54568581177309e-05,0.00123543133812629,0.0119214116901939,5.88713562229344,10.4363013550851,12.0176277572499,12.3023566003244,14719.6106663945,70081.6314350467,169862.019904225,278749.440327136,40.6434212168838,9.5531692537281,15.2850708045886,12.2280566425116,6.5216302085796,12052897.3885805,6856430.22136222
"14",14,4.84613003694262e-16,208637.021691437,208661.292995625,7219.03109383913,5.42007253480208e-08,1.78204642332328e-06,2.93228161923257e-05,0.000321965164633888,1.85368896176546,4.89005782318053,7.72755309166517,9.80000464350758,4012.03550742474,22309.8956641295,62857.4944281856,119457.596091781,24.2713044020512,-0.99172236381297,-1.58675578347708,-1.26940462794095,-0.677015802328441,12226461.7488892,7007657.92670375
"15",15,3.31642103259051e-16,78688.2541011563,78710.651263121,7219.03109383913,9.91961438620499e-10,3.65892024684332e-08,6.75277374743333e-07,8.31436220201778e-06,1.69570995240656,4.53218921556064,7.1316005516165,9.03766257650654,1092.70053933413,6953.5360738961,22343.3831738774,48298.6343141368,22.3971621780227,-1.318594411495,-2.10975105976833,-1.68780084897395,-0.900160453546039,12293276.4893334,7070793.8283361
"16",16,11.2001846058035,28793.4351772198,28814.9445088233,7207.29402330717,0.157384423879124,0.133978769494557,0.0995820045282754,0.064784213647809,1.7352279073711,4.43191060940068,6.83195602125479,8.51023885971317,297.053365017535,2131.87421872072,7699.2439532132,18665.2636403564,21.509333279671,-1.32796193335899,-2.12473909475071,-1.69979127695986,-0.906555348471857,12318147.7544434,7095818.35114445
"17",17,17.4844531251567,10269.608446876,10290.9818554563,7200.48685708215,0.108799150333409,0.124937843182007,0.135714624305357,0.13808495907566,2.02416318527745,4.49752865358819,6.69254523918063,8.1591732982217,80.2133907723935,644.345479426085,2587.61671209666,6957.4328646688,21.3734102581992,-1.32821519889871,-2.12514431961427,-1.7001154568507,-0.906728244413641,12327149.0773098,7105341.46202188
"18",18,44.2003322939613,3581.58814219193,3602.9913358558,7173.48336874088,0.0698161328249154,0.0712699868602705,0.0801816945185205,0.092746591724355,2.12991895691288,4.62677757689738,6.68378806258632,7.96271086354534,21.1285949092753,191.688605354039,851.321386876002,2517.44955514048,21.4031953418731,-1.27589167785363,-2.04142668594213,-1.633141349913,-0.87100872071353,12330329.1830567,7108849.82792585
"19",19,889.787489274042,1223.02447131612,1244.10791448876,6326.93394295348,0.367173030699703,0.243846484795384,0.167106598683816,0.122239226163038,2.05493665887533,4.57937498153751,6.62664443548332,7.82248889280868,5.07038926324459,55.5282950284861,274.36505118145,888.060735930809,21.0834448506361,-1.21669816291572,-1.94671706204147,-1.55737365079247,-0.830599281182582,12331428.6576888,7110109.61263293
"20",20,6908.08917071257,407.605508405766,429.461468066657,303.652417817915,1.46585123339218,1.25394374058497,0.979187898062724,0.719447503036429,2.82309232356081,4.70422996875037,6.60019857442569,7.72844059020232,0.68995170514716,14.9146476790607,86.038135737149,305.962773372283,21.8559613388704,-1.25331338834618,-2.00530142273022,-1.60424113934347,-0.855595275076449,12331800.6756206,7110553.70292621
"21",21,7203.67841824505,130.412874846195,156.150611836468,4.11416399437429,0.74313775314674,0.934048261481444,1.09594235180618,1.18364975215768,5.20322996604954,5.79907761173456,6.9548842803821,7.78054692815479,-0.513595808292015,2.87014922623236,25.4537352800451,102.602586236084,25.7377386682522,-1.22949545416411,-1.9671927280389,-1.57375418359041,-0.839335565341484,12331922.9265313,7110709.17353028
"22",22,7201.72423236486,38.3573764369726,66.2295206582011,4.54133448294208,0.303939420271442,0.387069670269057,0.494647971591282,0.623713043902112,5.44759764089965,6.80611721277231,7.59749621107729,8.02093495252679,-0.699761662813176,-0.419767721289995,6.44276548801803,33.0341404209327,27.8721458992072,-0.747197407937381,-1.19551585407614,-0.956412684420202,-0.51008676578404,12331960.8937702,7110764.80180592
"23",23,7200.88987298507,10.0538146303962,35.2608665299247,4.66177212489825,0.151770361774865,0.181100686985966,0.220531633406272,0.273218251068956,3.84311475426526,6.04792230822562,7.35971251431504,7.95630411877128,-0.422277805284323,-0.722055669785537,1.14951703857521,10.0486311547697,25.2070535775082,-0.372316413059032,-0.595706262270778,-0.476565010975915,-0.254168006613754,12331971.6027693,7110786.7581318
"24",24,7200.44538527186,0.561817371848934,22.9694873047457,4.6876966561323,0.0940807285135274,0.105651944810183,0.120597984763084,0.140165795280544,2.67080814801578,5.113484051606,6.86806681333253,7.75531271599068,-0.473691285338435,-0.959514744745434,-0.515754515882481,2.51077800569332,22.407671610876,-0.82451035540086,-1.3192165700177,-1.05537325717346,-0.562865737919108,12331973.9077584,7110797.52920957
"25",25,7200.16187044987,-3.77008312990855,17.4235352678478,4.67726576516102,0.0689557592244063,0.0741219589301418,0.0805616890209812,0.0886686298829432,2.18762739872781,4.70434292688054,6.64249476004252,7.65915510815373,-0.697623755116662,-1.44461982096478,-1.42989213422098,-0.197947331728136,21.1936200757356,-1.10756510720683,-1.77210417290725,-1.41768333948509,-0.756097781818648,12331972.9803375,7110804.44471658
"26",26,7199.953897407,-5.95375614797555,14.7723655157098,4.64921601314836,0.05713405648031,0.0595899535880959,0.0626008833373704,0.0663082417149708,1.99849670759873,4.54827866450551,6.55714653126726,7.62220155636216,-0.850978968475896,-1.80831598340551,-1.98746004317137,-1.30700106504476,20.7261233416647,-1.2150165365713,-1.94402645989041,-1.55522116907162,-0.829451290931462,12331970.4863348,7110809.89258672
"27",27,7199.78281176174,-7.05070166611174,13.4787339940694,4.61227507332567,0.0513980362065217,0.052593734802933,0.0540509550423256,0.0558294821020423,1.91708681897262,4.48327580541294,6.52216590723583,7.60690892460813,-0.927532084246994,-2.00957679101038,-2.30091365112069,-1.81267905185567,20.5294373381606,-1.25660477329918,-2.01056763865502,-1.60845411208331,-0.85784219387103,12331967.201702,7110814.71063848
"28",28,7199.62986295522,-7.59414522257375,12.8448595349784,4.57089633876005,0.0485899000065011,0.0491754640171358,0.049888255164472,0.0507560994798248,1.8791944928351,4.45355779094775,6.50632620579356,7.59992806402423,-0.962708130159502,-2.10929804022572,-2.46501702807007,-2.05712193624045,20.4390064355317,-1.27466241094855,-2.03945985889401,-1.6315678882745,-0.870169541172997,12331963.5223977,7110819.23360719
"29",29,7199.48581042267,-7.86057517080015,12.5349759158893,4.52733038174882,0.047215611910255,0.0475019674143759,0.0478507540209433,0.0482754839222695,1.86090795035562,4.43931282947817,6.49876215050629,7.59656995239787,-0.978800010294483,-2.15692024084363,-2.5472668604932,-2.17758797129083,20.395552764669,-1.28312500417286,-2.0530000080529,-1.64240000760161,-0.875946671480791,12331959.6485313,7110823.61254162
"30",30,7199.55004281201,-7.99030340519262,12.3840434343823,4.2787536064658,0.0465460133515128,0.0466852899903733,0.0468552425167236,0.0470625213014276,1.85198005632227,4.43236823569259,6.49507762604774,7.5949227175608,-0.986297326949905,-2.17951192844491,-2.58753839930985,-2.23695566260994,20.3743485175545,-1.28722208356626,-2.05955533508234,-1.64764426922516,-0.878743611013353,12331955.6795903,7110827.92045419
"31",31,7199.61090571712,-8.0532321020214,12.3107422388293,4.03513569251274,0.0462210478163143,0.0462886634199226,0.0463711784194948,0.0464718811031286,1.84761778761502,4.42897223054937,6.49327499151567,7.59411112721906,-0.989857264906328,-2.19027819142183,-2.60705018850083,-2.2660463693144,20.3639760188302,-1.28922538113815,-2.06276061119736,-1.65020849011718,-0.880111195489097,12331951.6644461,7110832.19345079
"32",32,7199.58321880072,-8.08370664783441,12.2752079059169,3.88083972487026,0.0460631047928155,0.0460959734131881,0.0461360769300267,0.0461850039114353,1.84549321584261,4.42731607557608,6.49239504122458,7.59371201715655,-0.991569399510255,-2.19544362205294,-2.61647193333204,-2.28022160506117,20.3589162317309,-1.29020498507521,-2.06432797749666,-1.65146238315662,-0.880779938443464,12331947.6269084,7110836.44937832
"33",33,7199.8082261583,-8.09845745801199,12.2579962588338,3.47422273708143,0.0459873375470643,0.0460028604577482,0.0460220893440829,0.0460457248480667,1.84446085352389,4.42651107309339,6.49196711134812,7.59351647492884,-0.992398037429256,-2.19793478162351,-2.62102112745125,-2.28710342362996,20.3564553948253,-1.29068197720551,-2.06509116490515,-1.65207293308341,-0.881105565071085,12331943.5785289,7110840.69700118
"34",34,7201.50213615694,-8.10559686600085,12.249664452996,1.59886225563198,0.0459585334861351,0.0459634526429472,0.0459707216365707,0.045980690107858,1.8439624010895,4.42612063423269,6.49175928973127,7.59342078999181,-0.992799837222408,-2.19913956625592,-2.62321953652021,-2.2904378381243,20.3552629969763,-1.29091365648138,-2.06546185174654,-1.65236948255652,-0.881263724790078,12331939.5249017,7110844.94059525
"35",35,7202.73435635485,-8.10905345488253,12.2456551835396,0.185235680639273,0.0459503887211185,0.0459522111502693,0.0459544477768929,0.0459574575117974,1.84373878552588,4.42593719419563,6.49166005929037,7.5933743954587,-0.992994815158196,-2.19972318692343,-2.62428309441395,-2.29205227050894,20.3547103164016,-1.29102613724993,-2.06564182097621,-1.65251345794026,-0.881340511661407,12331935.4687338,7110849.1822376
"36",36,7203.02579851459,-8.11072501016366,12.2437632214842,-0.287588137346223,0.0459448753226225,0.0459461318926477,0.0459475222509559,0.0459490801402732,1.84365447851498,4.42586330816363,6.49161836256192,7.59335387845579,-0.993088931201877,-2.20000523841781,-2.6247973110702,-2.29283344159577,20.3544899096274,-1.29107865771949,-2.06572585372751,-1.6525806841413,-0.881376365635292,12331931.4113361,7110853.42293581
"37",37,7203.01055703685,-8.11151706773556,12.2428898803119,-0.453711506462197,0.0459411990083857,0.0459420199842415,0.0459429413819915,0.0459439724086152,1.84362115647599,4.42583718415798,6.4916040587828,7.59334634467914,-0.993131561896715,-2.20013628809565,-2.62504096341515,-2.29320816645003,20.354408626027,-1.29109742000841,-2.06575587338979,-1.65260469987113,-0.881389174024534,12331927.3533472,7110857.6631803
"38",38,7202.90079055862,-8.11187569539812,12.2424886955664,-0.525299101708142,0.045938804022327,0.0459393474567817,0.0459399498962481,0.0459406214159953,1.84360223543006,4.42582385409248,6.49159725795077,7.59334283953968,-0.993148814820015,-2.20019246610772,-2.62515087701347,-2.2933834495789,20.354366068944,-1.29110418583724,-2.06576669871591,-1.65261336013202,-0.881393792830345,12331923.2950839,7110861.90321025
"39",39,7202.75467531258,-8.11203722793353,12.2422996165194,-0.560530485708918,0.045937074689835,0.0459374825133596,0.0459379148550435,0.0459383905158395,1.84358985981029,4.42581519222567,6.49159287724415,7.59334071122123,-0.993156285628391,-2.20021692661154,-2.62519990035477,-2.29346402746082,20.3543385224324,-1.29110829999641,-2.06577328137059,-1.65261862625577,-0.881396601429675,12331919.2366972,7110866.14314047
"40",40,7202.59094624877,-8.11211288493279,12.2422054656782,-0.578142121371124,0.04593564058714,0.0459359890857768,0.0459363460131749,0.0459367275217115,1.84358138709521,4.42580940615915,6.49158998113072,7.5933393722744,-0.993160122544303,-2.20022871832068,-2.62522268592304,-2.29350127026676,20.3543200285905,-1.2911110052752,-2.06577760981665,-1.65262208901262,-0.881398448233328,12331915.1782541,7110870.38302448
"41",41,7202.4183309163,-8.11215063727033,12.2421541783956,-0.586862205844114,0.0459343326319983,0.0459346551492995,0.0459349822921562,0.0459353173771541,1.84357494330178,4.42580522618078,6.49158795286544,7.59333848936642,-0.993162362842494,-2.20023508609132,-2.62523408027566,-2.29351902018284,20.3543064936455,-1.291112830735,-2.06578053055233,-1.65262442560116,-0.881399694413885,12331911.1197841,7110874.62288665
"42",42,7202.24128158531,-8.11217126181967,12.2421223944043,-0.591143287075645,0.0459330787058504,0.0459333902176688,0.0459337039332094,0.0459340204207549,1.84356942535253,4.42580181485841,6.49158636209977,7.59333784996167,-0.993163823295099,-2.20023895370353,-2.62524038052224,-2.29352801642079,20.3542953342034,-1.29111419360366,-2.06578271114219,-1.65262617007305,-0.88140062479889,12331907.0613,7110878.86273798
"43",43,7202.06204889134,-8.11218398425013,12.2420994921062,-0.593236120656743,0.0459318480741777,0.0459321548859405,0.0459324626428509,0.0459327716001957,1.84356429216205,4.42579871273769,6.49158494722718,7.59333732027787,-0.99316489252751,-2.2002416209645,-2.62524433383343,-2.29353304904668,20.3542851543358,-1.29111529196813,-2.06578446852533,-1.65262757597956,-0.881401374615697,12331903.0028078,7110883.10258344
"44",44,7201.88175115722,-8.1121930425146,12.2420805746218,-0.594259080857261,0.0459306273009211,0.0459309321425754,0.0459312373808321,0.0459315431212113,1.84355931373239,4.42579571355999,6.49158357171887,7.59333681417358,-0.99316577737351,-2.20024371914172,-2.62524719198015,-2.29353626614121,20.3542752951159,-1.29111635270668,-2.06578616570702,-1.65262893372491,-0.88140209874655,12331898.9443105,7110887.34242529
